ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-12-10T21:29:35Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,203495,BR,189.60.198.60,Volta Vai (feat. Simone & Simaria) - Ao Vivo,Avine Vinny,Avine em Sampa (Ao Vivo),spotify:track:1dUEF1msltCZPeLwBcNqzn,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:32:04Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,148412,BR,189.60.198.60,Nunquinha - Ao Vivo,Luan Estilizado,Só Moda Boa,spotify:track:4v0itdg5VyoQmOkklEXhq3,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:35:30Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,206144,BR,189.60.198.60,Bobinha - Ao Vivo,Jorge & Mateus,Terra Sem Cep,spotify:track:7nxAHrhpQ31kZtcbzaNMwl,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:42:07Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,366508,BR,189.60.198.60,Coral de Anjos / Pra Gente Se Encontrar de Novo / Mini-Saia (feat. Marquynhos Sensação & Carica) - Ao Vivo,Turma do Pagode,Misturadin 2 (Ao Vivo),spotify:track:1vtZvpIyvJlctaPWv5CXlG,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2020-12-10T21:45:25Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,198254,BR,189.60.198.60,A Pessoa Certa - Ao Vivo,Turma do Pagode,Misturadin 2 (Ao Vivo),spotify:track:5wcuXZAk6wgs326KIMzE6T,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2020-12-10T21:47:32Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,126284,BR,189.60.198.60,Amor A3 - Ao Vivo,Luan Estilizado,Só Moda Boa,spotify:track:0dDdH4eDifOgSBH6KzUZg0,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:49:52Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,140443,BR,189.60.198.60,Trincadinho - Ao Vivo,Jorge & Mateus,Terra Sem Cep,spotify:track:5qjMyKkmosPBws5cImS9Zz,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:52:16Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,144013,BR,189.60.198.60,Ilude Eu,Rogerinho,Sofra e Ame,spotify:track:1IjSC4ZDJHAU4FIcF64osh,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-10T21:53:00Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,44054,BR,189.60.198.60,"Tem Cara, Tem Cheiro, Tem Nome (Tô Feliz)",Wesley Safadão,Ws Em Casa 2,spotify:track:5ljB7W5k5idQcbGMRRetoY,,,,,,,,trackdone,remote,False,False,False,,False
2020-12-10T21:53:00Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,44054,BR,189.60.198.60,"Tem Cara, Tem Cheiro, Tem Nome (Tô Feliz)",Wesley Safadão,Ws Em Casa 2,spotify:track:5ljB7W5k5idQcbGMRRetoY,,,,,,,,trackdone,remote,False,False,False,,False
2020-12-13T21:23:58Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,217333,BR,189.60.198.60,A Promise,Dead by April,Dead by April,spotify:track:6Gl846GmYFXU9t3F4O59Hn,,,,,,,,remote,trackdone,False,False,False,,False
2020-12-13T21:25:18Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,79898,BR,189.60.198.60,Stronger,Dead by April,Dead by April,spotify:track:3GlmxpimhvMFJSCThaQU3y,,,,,,,,trackdone,endplay,False,False,False,,False
2020-12-13T21:29:59Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,227082,BR,189.60.198.60,All My Friends Are Dead,The Amity Affliction,Everyone Loves You... Once You Leave Them,spotify:track:2rbH30pxzOuKjyGT06tHSr,,,,,,,,clickrow,trackdone,False,False,False,,False
2020-12-13T21:33:36Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,216732,BR,189.60.198.60,Colder,Ravenface,Breathe Again,spotify:track:1D1n3BiZBCU037LVVD5qpG,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T21:36:39Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,182414,BR,189.60.198.60,Payphone,Crown The Empire,"Punk Goes Pop, Vol. 5",spotify:track:2wNQm6zXDZTz1xrQbA78A5,,,,,,,,trackdone,endplay,False,False,False,,False
2020-12-13T21:39:35Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,174475,BR,189.60.198.60,Daniela - Ao Vivo,Calcinha Preta,"CP 25 Anos, Pt. 2",spotify:track:3dZvILFXiC8xMutIIuTuT1,,,,,,,,clickrow,trackdone,False,False,False,,False
2020-12-13T21:43:00Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,145316,BR,189.60.198.60,Voando Feito um Gavião,Gleydson Gavião,Voando Feito um Gavião (Porteira da Fazenda),spotify:track:4ROKyyP17WEOUPvhwh5Uck,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T21:45:41Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,161211,BR,189.60.198.60,Sentimentos De Vaqueiro (Eu Acho Que Não),Raí Saia Rodada,Revigora,spotify:track:0Xmc8i1MocTXQXGCT0R0fB,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T21:46:55Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,74563,BR,189.60.198.60,Me Calei,Xand Avião,Me Calei,spotify:track:4S4Jc7uJjJjfXXgV2XlYmR,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2020-12-13T21:46:58Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,1654,BR,189.60.198.60,Confidencial,Wesley Safadão,Confidencial,spotify:track:7Kb4TOsH22ZLrBkZx1p0SZ,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2020-12-13T21:51:46Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,151941,BR,189.60.198.60,Beijo das Galáxias,Eric Land,Beijo das Galáxias,spotify:track:4z1hlWTFVq9ftrcCxxvcwt,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2020-12-13T21:55:44Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,237900,BR,189.60.198.60,Meia Noite (Você tem meu Whatsapp),Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),spotify:track:6CYMyZFlIc2huSOAHbmxnm,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T21:59:16Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,152228,BR,189.60.198.60,A Pior Parte,Renno,A Pior Parte,spotify:track:40lCZjyCTGAaw6yneFq39z,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T22:02:10Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,173428,BR,189.60.198.60,Era Eu - Ao Vivo,Raí Saia Rodada,Era Eu (Deluxe) [Ao Vivo],spotify:track:1uPNuCe6RcroKOe7Zauh6P,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T22:02:57Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,47862,BR,189.60.198.60,Recairei - Ao Vivo,Os Barões Da Pisadinha,Recairei,spotify:track:71FrGl0XcpL3VId65tB5mg,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2020-12-13T22:03:00Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,1979,BR,189.60.198.60,Fala Comigo - Ao Vivo,Cavaleiros do Forró,Fala Comigo,spotify:track:3ULZgbsaHcjPqKgvxYwSiI,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2020-12-13T22:03:01Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,725,BR,189.60.198.60,Roxinho,Vitor Fernandes,Roxinho,spotify:track:0ItJvt7npJ3Mw9mefto5Sn,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2020-12-13T22:03:03Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,1143,BR,189.60.198.60,Raparigagem,Paulo Pires,Raparigagem,spotify:track:0rRP8iS0h0R8V4EckG5lkp,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2020-12-13T22:06:56Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,138863,BR,189.60.198.60,Acabou de Acabar,Renno,Acabou de Acabar,spotify:track:5mA7pbLQblN6VWj9tB01mC,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2020-12-13T22:09:22Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,143967,BR,189.60.198.60,Meu Fraco,Xand Avião,Vem X Aí,spotify:track:1rlGqc2DWp2468tl1Hm1tw,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T22:11:43Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,140915,BR,189.60.198.60,Apelido de seu ex,Samyra Show,Apelido de seu ex,spotify:track:2e0ivDOwz3aOPwfARkmJ7v,,,,,,,,trackdone,trackdone,False,False,False,,False
