Município;Ano
Cariri do Tocantins (TO);4147
Carmolândia (TO);2246
Carrasco Bonito (TO);3362
Caseara (TO);5009
Centenário (TO);2135
Chapada de Areia (TO);1563
Chapada da Natividade (TO);3182
Colinas do Tocantins (TO);35957
Combinado (TO);4896
Conceição do Tocantins (TO);3956
Couto Magalhães (TO);5515
Cristalândia (TO);6437
Crixás do Tocantins (TO);1499
Darcinópolis (TO);6054
Dianópolis (TO);18031
Divinópolis do Tocantins (TO);7297
Dois Irmãos do Tocantins (TO);6395
Dueré (TO);4321
Esperantina (TO);7493
Fátima (TO);3520
Figueirópolis (TO);5336
Filadélfia (TO);7823
Formoso do Araguaia (TO);19428
Tabocão (TO);3676
Goianorte (TO);4840
Goiatins (TO);12816
Guaraí (TO);25681
Gurupi (TO);89574
Ipueiras (TO);1627
Itacajá (TO);6969
Itaguatins (TO);5206
Itapiratins (TO);3679
Itaporã do Tocantins (TO);2464
Jaú do Tocantins (TO);3403
Juarina (TO);2305
Lagoa da Confusão (TO);16312
Lagoa do Tocantins (TO);3610
Lajeado (TO);3520
Lavandeira (TO);1673
Lizarda (TO);2991
Luzinópolis (TO);2803
Marianópolis do Tocantins (TO);4772
Mateiros (TO);2888
Maurilândia do Tocantins (TO);3171
Miracema do Tocantins (TO);18787
Miranorte (TO);13056
Monte do Carmo (TO);5722
Monte Santo do Tocantins (TO);2500
Palmeiras do Tocantins (TO);4897
Muricilândia (TO);3485
Natividade (TO);8961
Nazaré (TO);4660
Nova Olinda (TO);10609
Nova Rosalândia (TO);3403
Novo Acordo (TO);4102
Novo Alegre (TO);1841
Novo Jardim (TO);2263
Oliveira de Fátima (TO);1211
Palmeirante (TO);4909
Palmeirópolis (TO);7119
Paraíso do Tocantins (TO);55164
Paranã (TO);10854
Pau D'Arco (TO);4085
Pedro Afonso (TO);14731
Peixe (TO);9438
Pequizeiro (TO);5038
Colméia (TO);9158
Pindorama do Tocantins (TO);4596
Piraquê (TO);2265
Pium (TO);7375
Ponte Alta do Bom Jesus (TO);4295
Ponte Alta do Tocantins (TO);7842
Porto Alegre do Tocantins (TO);2953
Porto Nacional (TO);68555
Praia Norte (TO);9460
Presidente Kennedy (TO);3051
Pugmil (TO);2231
Recursolândia (TO);3471
Riachinho (TO);4039
Rio da Conceição (TO);1822
Rio dos Bois (TO);2833
Rio Sono (TO);4798
Sampaio (TO);4372
Sandolândia (TO);3873
Santa Fé do Araguaia (TO);7489
Santa Maria do Tocantins (TO);2726
Santa Rita do Tocantins (TO);2291
